	annee	epci	nom_epci	secteur	energie	consommation
0	2005	200054781	Métropole du Grand Paris	AGR	ELEC	16199.659999999994
1	2005	200054781	Métropole du Grand Paris	AGR	PP + CMS	17767.949999999997
2	2005	200054781	Métropole du Grand Paris	AGR	URB	0.0
3	2005	200054781	Métropole du Grand Paris	AGR	BOIS	0.0
4	2005	200054781	Métropole du Grand Paris	AGR	GN	55991.64999999999
5	2005	200054781	Métropole du Grand Paris	IND	ELEC	3198125.9699999993
6	2005	200054781	Métropole du Grand Paris	IND	PP + CMS	707792.8400000005
7	2005	200054781	Métropole du Grand Paris	IND	URB	319737.3500000002
8	2005	200054781	Métropole du Grand Paris	IND	BOIS	0.0
9	2005	200054781	Métropole du Grand Paris	IND	GN	12876573.189999998
10	2005	200054781	Métropole du Grand Paris	RES	ELEC	17792954.989999987
11	2005	200054781	Métropole du Grand Paris	RES	PP + CMS	6504602.3999999985
12	2005	200054781	Métropole du Grand Paris	RES	URB	4986056.359999999
13	2005	200054781	Métropole du Grand Paris	RES	BOIS	1139887.2800000003
14	2005	200054781	Métropole du Grand Paris	RES	GN	29908339.449999988
15	2005	200054781	Métropole du Grand Paris	TER	ELEC	13557001.610000001
16	2005	200054781	Métropole du Grand Paris	TER	PP + CMS	3284161.440000001
17	2005	200054781	Métropole du Grand Paris	TER	URB	4150201.200000001
18	2005	200054781	Métropole du Grand Paris	TER	BOIS	0.0
19	2005	200054781	Métropole du Grand Paris	TER	GN	7883523.560000001
20	2005	200054781	Métropole du Grand Paris	TRAF	ELEC	0.0
21	2005	200054781	Métropole du Grand Paris	TRAF	PP + CMS	22528133.79000001
22	2005	200054781	Métropole du Grand Paris	TRAF	URB	0.0
23	2005	200054781	Métropole du Grand Paris	TRAF	BOIS	0.0
24	2005	200054781	Métropole du Grand Paris	TRAF	GN	0.0
25	2005	200023125	CC Les Portes Briardes entre Villes et Forêts	AGR	ELEC	465.98
26	2005	200023125	CC Les Portes Briardes entre Villes et Forêts	AGR	PP + CMS	2368.7499999999995
27	2005	200023125	CC Les Portes Briardes entre Villes et Forêts	AGR	URB	0.0
28	2005	200023125	CC Les Portes Briardes entre Villes et Forêts	AGR	BOIS	0.0
