Departement,Nom commune,Nom de la chaufferie,Nom Maître d'ouvrage,Contact Maître d'ouvrage,Nom Exploitant,Contact Exploitant,Nom installateur/constructeur,Nom fournisseur biomasse,Année de mise en service,Année de mise en arret ou de rénovation,État chaufferie au plus récent,Aide ADEME,Aide Région,Aide autres,AAP concerné,Nombre de chaudières,Type chaufferie,Catégorie chaufferie,Secteurs desservis,Marque chaudière,Puissance biomasse totale (kW),Classe puissance totale,Puissance d'appoint (kW),Type d'appoint,Type approvisionnement,Tonnes  PFA (IDF),Tonnes CIB (IDF),Tonnes BFVBD (IDF),Tonnes GR (IDF),Total IDF,Tonnes PFA (hors IDF),Tonnes CIB (hors IDF),Tonnes BFVBD (hors IDF),Tonnes GR (hors IDF),Total Hors IDF,Non-précisé,Total,Production estimée (TEP/an),Production_estim_MWh,classe production
75,PARIS 16E ARRONDISSEMENT,CPCU Suchet,CPCU,,Compagnie parisienne de chauffage urbain (CPCU),,Agronergy,,2017,,2 - En fonctionnement,oui,,,AAP B6,6,Collective,Chaufferie sur réseau de chaleur,Résidentiel/Tertiaire,,810,<1 MW,2000,gaz,Polycombustibles ,,,,556,556,,,,,0,,556,214.961307,2500,>1 200 MWh/an
77,BUSSY-SAINT-GEORGES,Quartier du Sycomore,Commune de Bussy Saint Georges,,IDEX Energies,,IDEX Energies,,2020,,3 - En cours de construction,oui,oui,,AAPB4,1,Collective,Chaufferie sur réseau de chaleur,Résidentiel/Tertiaire,,1500,>1 MW,,gaz,(Provenance Quincy-sous-Sénart),5600,,2400,,8000,,,,,0,,8000,600,6978,>1 200 MWh/an
77,CESSON,Maison de la petite enfance,Commune de Cesson,,Dalkia,,,,2012,,2 - En fonctionnement,,,,,2,Collective,Chaufferie dédiée,Tertiaire/Résidentiel,KWB,112,<1 MW,,,Granulés (provenance Provins),,,,32,32,,,,,0,,32,8.123076923,94.47138462,<1 200 MWh/an
77,CESSON,Logements route de Montbréau,Immobilière 3F,,,,,,2013,,2 - En fonctionnement,,oui,,,1,Collective,Chaufferie dédiée,Résidentiel,,150,<1 MW,,,Granulés,,,,,0,,,,,0,160,160,32,372.16,<1 200 MWh/an
77,LA CHAPELLE-LA-REINE,Résidence de la rue de Villionne,OPH Seine et Marne,,,,,,2016,,2 - En fonctionnement,,oui,,,1,Collective,Chaufferie dédiée,Résidentiel,,540,<1 MW,,gaz,Plaquette forestière (PFA-1A) en provenance de la Région,18,,,,18,,,,,0,,18,95,1104.85,<1 200 MWh/an
77,LA CHAPELLE-LA-REINE,Réseau de chaleur Chapelle-la-Reine,Commune de la Chapelle-la-Reine,,,,,,2018,,2 - En fonctionnement,,oui,,,1,Collective,Chaufferie sur réseau de chaleur,,,150,<1 MW,,,,,,,,0,,,,,0,,0,50,581.5,<1 200 MWh/an
77,LES CHAPELLES-BOURBON,Chaufferie communale Chapelles-Bourbon,Commune de la Chapelles-bourbon,,,,,,2009,,2 - En fonctionnement,,,,,1,Collective,Chaufferie dédiée,Tertiaire,,100,<1 MW,,,,0,0,0,30,30,,,,,0,,30,13,151.19,<1 200 MWh/an
77,CHÂTEAU-LANDON,DUSOGAT (SOBOGAT - Dusapt),DUSOGAT (SOBOGAT - Dusapt),,,,,,2004,,2 - En fonctionnement,oui,,,,1,Industrielle,Chaufferie dédiée,Industrie,,1200,>1 MW,0,,,0,400,0,0,400,,,,,0,,400,540,6280.2,>1 200 MWh/an
77,COMBS-LA-VILLE,Groupe scolaire Beausoleil,Commune de Combs la Ville,,,,,,2014,,2 - En fonctionnement,,,,,2,Collective,Chaufferie dédiée,Tertiaire,Okofen,112,<1 MW,,,Plaquettes forestières en provenance de Seine et Marne et des Vosges,,,,,0,,,,,0,15,15,3.050735294,35.48005147,<1 200 MWh/an
77,DAMMARTIN-EN-GOËLE,Batiment la chaumière (espace jeunesse),Commune de Dammartin en Goële,,Dalkia,,,Valfrance,2013,,2 - En fonctionnement,,oui,,,1,Collective,Chaufferie dédiée,Tertiaire,Okofen,56,<1 MW,,,Granulés,0,0,0,4,4,,,,,0,,4,2,23.26,<1 200 MWh/an
77,FONTAINEBLEAU,La faisandrie,Foyers de Seine et Marne,,ENGIE,,CIEC,,2014,,2 - En fonctionnement,,oui,,,1,Collective,Chaufferie dédiée,Résidentiel/Tertiaire,,1500,>1 MW,,,Plaquette forestière (PFA-1A),,,,,0,,,,,0,478,478,133.9638865,1558,>1 200 MWh/an
77,LIEUSAINT,Ferme de Servigny,Ferme de Servigny,,,,,Terre Energie,2009,,2 - En fonctionnement,,,,,1,Industrielle,Chaufferie dédiée,Agriculture,,80,<1 MW,0,,PF + granulés,,,,,0,,,,,0,45,45,17,197.71,<1 200 MWh/an
77,MAY-EN-MULTIEN,Bâtiment association La Présence,Association la présence,,,,,,2019,,3 - En cours de construction,,oui,,,1,Collective,Chaufferie dédiée,Résidentiel,,200,<1 MW,0,,Miscanthus,,,,,0,,,,,0,90,90,30.09458298,350,<1 200 MWh/an
77,MITRY-MORY,Centréal,L'Oréal,,,WEYA,,WEYA,2012,,2 - En fonctionnement,,,,,1,Industrielle,Chaufferie dédiée,Industrie,,500,<1 MW,,gaz,Granulés,0,0,0,220,220,,,,,0,,220,94.58297506,1100,<1 200 MWh/an
