,annee,epci,epci_nom,secteur,emission
0,2005,200054781,Métropole du Grand Paris,Agriculture,21.299999999999997
1,2005,200054781,Métropole du Grand Paris,Residentiel,10102.3
2,2005,200054781,Métropole du Grand Paris,Tertiaire,4037.3999999999983
3,2005,200054781,Métropole du Grand Paris,Totale,23579.6
4,2005,200054781,Métropole du Grand Paris,Transport_R,5561.699999999998
5,2005,200054781,Métropole du Grand Paris,Transport_A,425.0000000000001
6,2005,200054781,Métropole du Grand Paris,Production-Energie,149.9000000000001
7,2005,200023125,CC Les Portes Briardes entre Villes et Forêts,Agriculture,3.9000000000000004
8,2005,200023125,CC Les Portes Briardes entre Villes et Forêts,Residentiel,67.4
9,2005,200023125,CC Les Portes Briardes entre Villes et Forêts,Tertiaire,11.6
10,2005,200023125,CC Les Portes Briardes entre Villes et Forêts,Totale,160.1
11,2005,200023125,CC Les Portes Briardes entre Villes et Forêts,Transport_R,53.7
12,2005,200023125,CC Les Portes Briardes entre Villes et Forêts,Transport_A,0.0
13,2005,200023125,CC Les Portes Briardes entre Villes et Forêts,Production-Energie,0.7
14,2005,200023240,CC Pays de Nemours,Agriculture,14.299999999999995
15,2005,200023240,CC Pays de Nemours,Residentiel,51.300000000000004
16,2005,200023240,CC Pays de Nemours,Tertiaire,15.9
17,2005,200023240,CC Pays de Nemours,Totale,286.1
18,2005,200023240,CC Pays de Nemours,Transport_R,69.1
19,2005,200023240,CC Pays de Nemours,Transport_A,0.0
20,2005,200023240,CC Pays de Nemours,Production-Energie,0.8999999999999999
21,2005,200023919,CC Gâtinais Val de Loing,Agriculture,33.9
22,2005,200023919,CC Gâtinais Val de Loing,Residentiel,34.99999999999999
23,2005,200023919,CC Gâtinais Val de Loing,Tertiaire,2.9000000000000004
24,2005,200023919,CC Gâtinais Val de Loing,Totale,204.70000000000002
25,2005,200023919,CC Gâtinais Val de Loing,Transport_R,59.800000000000004
26,2005,200023919,CC Gâtinais Val de Loing,Transport_A,0.0
27,2005,200023919,CC Gâtinais Val de Loing,Production-Energie,0.2
28,2005,200033090,CC Plaines et Monts de France,Agriculture,14.300000000000004
29,2005,200033090,CC Plaines et Monts de France,Residentiel,29.7
30,2005,200033090,CC Plaines et Monts de France,Tertiaire,3.4000000000000004
31,2005,200033090,CC Plaines et Monts de France,Totale,221.99999999999997
32,2005,200033090,CC Plaines et Monts de France,Transport_R,76.6
33,2005,200033090,CC Plaines et Monts de France,Transport_A,68.0
34,2005,200033090,CC Plaines et Monts de France,Production-Energie,0.2
35,2005,200037133,CC du Provinois,Agriculture,62.699999999999996
36,2005,200037133,CC du Provinois,Residentiel,59.800000000000004
37,2005,200037133,CC du Provinois,Tertiaire,9.199999999999998
38,2005,200037133,CC du Provinois,Totale,223.5
39,2005,200037133,CC du Provinois,Transport_R,62.09999999999998
40,2005,200037133,CC du Provinois,Transport_A,0.0
41,2005,200037133,CC du Provinois,Production-Energie,0.2
42,2005,200040251,CC Bassée-Montois,Agriculture,32.599999999999994
43,2005,200040251,CC Bassée-Montois,Residentiel,43.10000000000001
44,2005,200040251,CC Bassée-Montois,Tertiaire,3.3000000000000003
45,2005,200040251,CC Bassée-Montois,Totale,107.39999999999999
46,2005,200040251,CC Bassée-Montois,Transport_R,18.100000000000005
47,2005,200040251,CC Bassée-Montois,Transport_A,0.0
48,2005,200040251,CC Bassée-Montois,Production-Energie,0.0
49,2005,200055655,CA Roissy Pays de France,Agriculture,27.6
50,2005,200055655,CA Roissy Pays de France,Residentiel,412.0000000000001
51,2005,200055655,CA Roissy Pays de France,Tertiaire,196.3
52,2005,200055655,CA Roissy Pays de France,Totale,2542.9999999999995
53,2005,200055655,CA Roissy Pays de France,Transport_R,558.2999999999998
54,2005,200055655,CA Roissy Pays de France,Transport_A,880.0
55,2005,200055655,CA Roissy Pays de France,Production-Energie,3.3000000000000007
56,2005,200057958,CA Paris - Vallée de la Marne,Agriculture,0.6
57,2005,200057958,CA Paris - Vallée de la Marne,Residentiel,273.5
58,2005,200057958,CA Paris - Vallée de la Marne,Tertiaire,99.8
59,2005,200057958,CA Paris - Vallée de la Marne,Totale,761.1
60,2005,200057958,CA Paris - Vallée de la Marne,Transport_R,274.2
61,2005,200057958,CA Paris - Vallée de la Marne,Transport_A,2.2
62,2005,200057958,CA Paris - Vallée de la Marne,Production-Energie,3.1
63,2005,200059228,CA Grand Paris Sud Seine Essonne Sénart,Agriculture,5.8999999999999995
64,2005,200059228,CA Grand Paris Sud Seine Essonne Sénart,Residentiel,400.90000000000003
65,2005,200059228,CA Grand Paris Sud Seine Essonne Sénart,Tertiaire,193.79999999999998
66,2005,200059228,CA Grand Paris Sud Seine Essonne Sénart,Totale,1705.6000000000001
67,2005,200059228,CA Grand Paris Sud Seine Essonne Sénart,Transport_R,670.1999999999999
68,2005,200059228,CA Grand Paris Sud Seine Essonne Sénart,Transport_A,0.0
69,2005,200059228,CA Grand Paris Sud Seine Essonne Sénart,Production-Energie,4.1
70,2005,200070779,CC Brie des Rivières et Châteaux,Agriculture,28.200000000000003
71,2005,200070779,CC Brie des Rivières et Châteaux,Residentiel,60.2
72,2005,200070779,CC Brie des Rivières et Châteaux,Tertiaire,4.999999999999999
73,2005,200070779,CC Brie des Rivières et Châteaux,Totale,278.4
74,2005,200070779,CC Brie des Rivières et Châteaux,Transport_R,167.3
75,2005,200070779,CC Brie des Rivières et Châteaux,Transport_A,0.2
76,2005,200070779,CC Brie des Rivières et Châteaux,Production-Energie,0.1
77,2005,200072130,CA du Pays de Meaux,Agriculture,12.2
78,2005,200072130,CA du Pays de Meaux,Residentiel,116.60000000000001
79,2005,200072130,CA du Pays de Meaux,Tertiaire,50.800000000000004
80,2005,200072130,CA du Pays de Meaux,Totale,657.9
81,2005,200072130,CA du Pays de Meaux,Transport_R,127.7
82,2005,200072130,CA du Pays de Meaux,Transport_A,11.399999999999999
83,2005,200072130,CA du Pays de Meaux,Production-Energie,0.5
84,2005,200072346,CA du Pays de Fontainebleau,Agriculture,18.100000000000005
85,2005,200072346,CA du Pays de Fontainebleau,Residentiel,154.10000000000002
86,2005,200072346,CA du Pays de Fontainebleau,Tertiaire,31.300000000000004
87,2005,200072346,CA du Pays de Fontainebleau,Totale,451.8999999999999
88,2005,200072346,CA du Pays de Fontainebleau,Transport_R,228.2
89,2005,200072346,CA du Pays de Fontainebleau,Transport_A,1.6
90,2005,200072346,CA du Pays de Fontainebleau,Production-Energie,1.0
91,2005,200072544,CC des Deux Morin,Agriculture,49.99999999999999
92,2005,200072544,CC des Deux Morin,Residentiel,47.199999999999996
93,2005,200072544,CC des Deux Morin,Tertiaire,2.7000000000000006
94,2005,200072544,CC des Deux Morin,Totale,195.79999999999998
95,2005,200072544,CC des Deux Morin,Transport_R,20.9
96,2005,200072544,CC des Deux Morin,Transport_A,0.0
97,2005,200072544,CC des Deux Morin,Production-Energie,0.2
98,2005,200072874,CC Val Briard,Agriculture,28.000000000000007
99,2005,200072874,CC Val Briard,Residentiel,42.8
100,2005,200072874,CC Val Briard,Tertiaire,5.5
101,2005,200072874,CC Val Briard,Totale,144.7
102,2005,200072874,CC Val Briard,Transport_R,62.09999999999999
103,2005,200072874,CC Val Briard,Transport_A,0.0
104,2005,200072874,CC Val Briard,Production-Energie,0.2
105,2005,200077055,CA Coulommiers Pays de Brie,Agriculture,49.800000000000004
106,2005,200077055,CA Coulommiers Pays de Brie,Residentiel,116.7
107,2005,200077055,CA Coulommiers Pays de Brie,Tertiaire,16.5
108,2005,200077055,CA Coulommiers Pays de Brie,Totale,296.70000000000005
109,2005,200077055,CA Coulommiers Pays de Brie,Transport_R,87.30000000000001
110,2005,200077055,CA Coulommiers Pays de Brie,Transport_A,0.0
111,2005,200077055,CA Coulommiers Pays de Brie,Production-Energie,0.5
112,2005,247700032,CC Moret Seine et Loing,Agriculture,13.3
113,2005,247700032,CC Moret Seine et Loing,Residentiel,65.30000000000001
114,2005,247700032,CC Moret Seine et Loing,Tertiaire,6.9
115,2005,247700032,CC Moret Seine et Loing,Totale,139.89999999999998
116,2005,247700032,CC Moret Seine et Loing,Transport_R,38.800000000000004
117,2005,247700032,CC Moret Seine et Loing,Transport_A,1.1
118,2005,247700032,CC Moret Seine et Loing,Production-Energie,1.1
119,2005,247700057,CA Melun Val de Seine,Agriculture,9.700000000000001
120,2005,247700057,CA Melun Val de Seine,Residentiel,185.09999999999997
121,2005,247700057,CA Melun Val de Seine,Tertiaire,81.6
122,2005,247700057,CA Melun Val de Seine,Totale,661.4
123,2005,247700057,CA Melun Val de Seine,Transport_R,303.5
124,2005,247700057,CA Melun Val de Seine,Transport_A,0.5
125,2005,247700057,CA Melun Val de Seine,Production-Energie,0.6000000000000001
126,2005,247700065,CC du Pays de l'Ourcq,Agriculture,20.599999999999998
127,2005,247700065,CC du Pays de l'Ourcq,Residentiel,27.7
128,2005,247700065,CC du Pays de l'Ourcq,Tertiaire,3.0000000000000004
129,2005,247700065,CC du Pays de l'Ourcq,Totale,147.6
130,2005,247700065,CC du Pays de l'Ourcq,Transport_R,28.999999999999996
131,2005,247700065,CC du Pays de l'Ourcq,Transport_A,0.0
132,2005,247700065,CC du Pays de l'Ourcq,Production-Energie,0.1
133,2005,247700107,CC Pays de Montereau,Agriculture,19.8
134,2005,247700107,CC Pays de Montereau,Residentiel,51.099999999999994
135,2005,247700107,CC Pays de Montereau,Tertiaire,13.6
136,2005,247700107,CC Pays de Montereau,Totale,480.9
137,2005,247700107,CC Pays de Montereau,Transport_R,89.8
138,2005,247700107,CC Pays de Montereau,Transport_A,1.6
139,2005,247700107,CC Pays de Montereau,Production-Energie,0.1
140,2005,247700339,CA Val d'Europe Agglomération,Agriculture,1.6
141,2005,247700339,CA Val d'Europe Agglomération,Residentiel,29.599999999999998
142,2005,247700339,CA Val d'Europe Agglomération,Tertiaire,61.1
143,2005,247700339,CA Val d'Europe Agglomération,Totale,184.29999999999998
144,2005,247700339,CA Val d'Europe Agglomération,Transport_R,87.8
145,2005,247700339,CA Val d'Europe Agglomération,Transport_A,0.0
146,2005,247700339,CA Val d'Europe Agglomération,Production-Energie,0.5
147,2005,247700438,CC Pays Créçois,Agriculture,11.899999999999997
148,2005,247700438,CC Pays Créçois,Residentiel,57.39999999999999
149,2005,247700438,CC Pays Créçois,Tertiaire,5.4
150,2005,247700438,CC Pays Créçois,Totale,199.89999999999998
151,2005,247700438,CC Pays Créçois,Transport_R,119.89999999999996
152,2005,247700438,CC Pays Créçois,Transport_A,0.0
153,2005,247700438,CC Pays Créçois,Production-Energie,0.30000000000000004
154,2005,247700594,CA Marne et Gondoire,Agriculture,2.3000000000000003
155,2005,247700594,CA Marne et Gondoire,Residentiel,124.70000000000002
156,2005,247700594,CA Marne et Gondoire,Tertiaire,40.0
157,2005,247700594,CA Marne et Gondoire,Totale,435.29999999999995
158,2005,247700594,CA Marne et Gondoire,Transport_R,217.70000000000005
159,2005,247700594,CA Marne et Gondoire,Transport_A,0.0
160,2005,247700594,CA Marne et Gondoire,Production-Energie,1.3
161,2005,247700644,CC l'Orée de la Brie,Agriculture,3.4999999999999996
162,2005,247700644,CC l'Orée de la Brie,Residentiel,36.800000000000004
163,2005,247700644,CC l'Orée de la Brie,Tertiaire,10.900000000000002
164,2005,247700644,CC l'Orée de la Brie,Totale,126.80000000000001
165,2005,247700644,CC l'Orée de la Brie,Transport_R,66.0
166,2005,247700644,CC l'Orée de la Brie,Transport_A,0.0
167,2005,247700644,CC l'Orée de la Brie,Production-Energie,0.4
168,2005,247700701,CC Brie Nangissienne,Agriculture,27.5
169,2005,247700701,CC Brie Nangissienne,Residentiel,40.19999999999999
170,2005,247700701,CC Brie Nangissienne,Tertiaire,9.200000000000001
171,2005,247700701,CC Brie Nangissienne,Totale,2166.2999999999993
172,2005,247700701,CC Brie Nangissienne,Transport_R,34.1
