DATE,CRIT_AIR,NOMBRE
2017/01,EL,6167
2017/02,EL,1507
2017/03,EL,1002
2017/04,EL,693
2017/05,EL,1934
2017/06,EL,1188
2017/07,EL,1481
2017/08,EL,656
2017/09,EL,689
2017/10,EL,744
2017/11,EL,772
2017/12,EL,587
2017/01,V1,295239
2017/02,V1,55037
2017/03,V1,39875
2017/04,V1,20753
2017/05,V1,25665
2017/06,V1,42262
2017/07,V1,40493
2017/08,V1,16978
2017/09,V1,17192
2017/10,V1,19584
2017/11,V1,19161
2017/12,V1,16998
2017/01,V2,782070
2017/02,V2,142297
2017/03,V2,91373
2017/04,V2,44024
2017/05,V2,54968
2017/06,V2,93465
2017/07,V2,85284
2017/08,V2,32393
2017/09,V2,33285
2017/10,V2,36890
2017/11,V2,37416
2017/12,V2,29774
2017/01,V3,488663
2017/02,V3,99260
2017/03,V3,58928
2017/04,V3,25287
2017/05,V3,27566
2017/06,V3,46151
2017/07,V3,52105
2017/08,V3,15600
2017/09,V3,13338
2017/10,V3,12065
2017/11,V3,10458
2017/12,V3,7071
2017/01,V4,148716
2017/02,V4,34290
2017/03,V4,19658
2017/04,V4,8665
2017/05,V4,9754
2017/06,V4,16060
2017/07,V4,19762
2017/08,V4,5594
2017/09,V4,4323
2017/10,V4,3880
2017/11,V4,3411
2017/12,V4,2284
2017/01,V5,32413
2017/02,V5,8102
2017/03,V5,4611
2017/04,V5,1883
2017/05,V5,2116
2017/06,V5,3332
2017/07,V5,4214
2017/08,V5,1180
2017/09,V5,891
2017/10,V5,844
2017/11,V5,665
2017/12,V5,517
