annee,code_insee,secteur,energie,conso_reel_mwh,conso_normal_mwh
2005,75101,AGR,ELEC,70.16,70.16
2005,75101,IND,ELEC,27376.31,27376.31
2005,75101,IND,PP + CMS,3906.47,3906.47
2005,75101,IND,URB,3798.72,3798.72
2005,75101,RES,BOIS,1927.95,1970.96
2005,75101,RES,ELEC,148116.2,149342.34
2005,75101,RES,GN,114956.98,116965.59
2005,75101,RES,PP + CMS,8311.86,8440.52
2005,75101,RES,URB,10192.83,10371.84
2005,75101,TER,ELEC,264210.59,265053.36
2005,75101,TER,GN,21119.35,21449.09
2005,75101,TER,PP + CMS,74785.18,76007.28
2005,75101,TER,URB,134307.49,136562.65
2005,75101,TRAF,PP + CMS,123067.69,123067.69
2005,75102,AGR,ELEC,246.38,246.38
2005,75102,IND,ELEC,12818.52,12818.52
2005,75102,IND,PP + CMS,5685.23,5685.23
2005,75102,IND,URB,6099.31,6099.31
2005,75102,RES,BOIS,2447.17,2501.77
2005,75102,RES,ELEC,173094.9,174581.35
2005,75102,RES,GN,111560.59,113501.31
2005,75102,RES,PP + CMS,5833.65,5916.92
2005,75102,RES,URB,8008.87,8149.29
2005,75102,TER,ELEC,151817.08,152308.22
2005,75102,TER,GN,14190.7,14440.22
2005,75102,TER,PP + CMS,48579.18,49405.37
2005,75102,TER,URB,68905.23,70159.1
2005,75102,TRAF,PP + CMS,42470.95,42470.95
2005,75103,AGR,ELEC,11.22,11.22
2005,75103,IND,ELEC,4474.16,4474.16
2005,75103,IND,PP + CMS,4006.04,4006.04
2005,75103,IND,URB,4019.89,4019.89
2005,75103,RES,BOIS,3933.92,4021.68
2005,75103,RES,ELEC,189386.03,190962.77
2005,75103,RES,GN,147986.77,150591.81
2005,75103,RES,PP + CMS,10333.45,10475.66
2005,75103,RES,URB,14366.9,14619.87
2005,75103,TER,ELEC,78648.24,78890.11
2005,75103,TER,GN,17183.21,17470.34
2005,75103,TER,PP + CMS,28557.22,29036.36
2005,75103,TER,URB,37524.42,38168.98
2005,75103,TRAF,PP + CMS,61621.72,61621.72
2005,75104,AGR,ELEC,58.23,58.23
2005,75104,IND,ELEC,4572.47,4572.47
2005,75104,IND,PP + CMS,3290.28,3290.28
2005,75104,IND,URB,2371.58,2371.58
2005,75104,RES,BOIS,3102.56,3171.78
2005,75104,RES,ELEC,157639.41,158872.4
2005,75104,RES,GN,142562.26,145095.25
2005,75104,RES,PP + CMS,11685.84,11858.7
2005,75104,RES,URB,15330.92,15598.06
2005,75104,TER,ELEC,145037.74,145521.58
2005,75104,TER,GN,12466.14,12672.75
2005,75104,TER,PP + CMS,36733.47,37366.75
2005,75104,TER,URB,75997.47,77329.44
2005,75104,TRAF,PP + CMS,141908.76,141908.76
2005,75105,AGR,ELEC,288.18,288.18
2005,75105,IND,ELEC,6206.63,6206.63
2005,75105,IND,PP + CMS,1995.27,1995.27
2005,75105,IND,URB,2754.04,2754.04
2005,75105,RES,BOIS,6692.49,6841.79
2005,75105,RES,ELEC,226405.29,228055.76
2005,75105,RES,GN,244696.99,248976.46
2005,75105,RES,PP + CMS,29666.99,30114.26
2005,75105,RES,URB,60120.42,61171.06
2005,75105,TER,ELEC,183127.01,183720.03
2005,75105,TER,GN,29734.64,30245.03
2005,75105,TER,PP + CMS,51746.21,52682.79
2005,75105,TER,URB,103705.89,105585.2
2005,75105,TRAF,PP + CMS,112317.07,112317.07
2005,75106,AGR,ELEC,389.86,389.86
2005,75106,IND,ELEC,8894.81,8894.81
2005,75106,IND,GN,371.19,371.19
2005,75106,IND,PP + CMS,2887.44,2887.44
2005,75106,IND,URB,4428.84,4428.84
2005,75106,RES,BOIS,4981.41,5092.54
2005,75106,RES,ELEC,224872.29,226464.95
2005,75106,RES,GN,284102.85,289168.9
2005,75106,RES,PP + CMS,48897.25,49727.51
2005,75106,RES,URB,29779.24,30300.85
2005,75106,TER,ELEC,142114.78,142542.54
2005,75106,TER,GN,63269.27,64344.22
2005,75106,TER,PP + CMS,68526.27,69739.29
2005,75106,TER,URB,95223.51,96924.27
