CODGEO,LIBGEO,EPCI,LIBEPCI,DEP,
75056,Paris,200054781,Métropole du Grand Paris,75,
77180,Férolles-Attilly,200023125,CC Les Portes Briardes entre Villes et Forêts,77,
77215,Gretz-Armainvilliers,200023125,CC Les Portes Briardes entre Villes et Forêts,77,
77249,Lésigny,200023125,CC Les Portes Briardes entre Villes et Forêts,77,
77350,Ozoir-la-Ferrière,200023125,CC Les Portes Briardes entre Villes et Forêts,77,
77470,Tournan-en-Brie,200023125,CC Les Portes Briardes entre Villes et Forêts,77,
77003,Amponville,200023240,CC Pays de Nemours,77,
77016,Bagneaux-sur-Loing,200023240,CC Pays de Nemours,77,
77046,Boulancourt,200023240,CC Pays de Nemours,77,
77056,Burcy,200023240,CC Pays de Nemours,77,
77060,Buthiers,200023240,CC Pays de Nemours,77,
77102,Châtenoy,200023240,CC Pays de Nemours,77,
77112,Chevrainvilliers,200023240,CC Pays de Nemours,77,
77156,Darvault,200023240,CC Pays de Nemours,77,
77178,Faÿ-lès-Nemours,200023240,CC Pays de Nemours,77,
77198,Fromont,200023240,CC Pays de Nemours,77,
77200,Garentreville,200023240,CC Pays de Nemours,77,
77216,Grez-sur-Loing,200023240,CC Pays de Nemours,77,
77220,Guercheville,200023240,CC Pays de Nemours,77,
77244,Larchant,200023240,CC Pays de Nemours,77,
77302,Montcourt-Fromonville,200023240,CC Pays de Nemours,77,
77328,Nanteau-sur-Essonne,200023240,CC Pays de Nemours,77,
77333,Nemours,200023240,CC Pays de Nemours,77,
77348,Ormesson,200023240,CC Pays de Nemours,77,
77395,Rumont,200023240,CC Pays de Nemours,77,
77431,Saint-Pierre-lès-Nemours,200023240,CC Pays de Nemours,77,
77520,Villiers-sous-Grez,200023240,CC Pays de Nemours,77,
77009,Arville,200023919,CC Gâtinais Val de Loing,77,
77011,Aufferville,200023919,CC Gâtinais Val de Loing,77,
77027,Beaumont-du-Gâtinais,200023919,CC Gâtinais Val de Loing,77,
77045,Bougligny,200023919,CC Gâtinais Val de Loing,77,
77050,Bransles,200023919,CC Gâtinais Val de Loing,77,
77071,Chaintreaux,200023919,CC Gâtinais Val de Loing,77,
77099,Château-Landon,200023919,CC Gâtinais Val de Loing,77,
77110,Chenou,200023919,CC Gâtinais Val de Loing,77,
77168,Égreville,200023919,CC Gâtinais Val de Loing,77,
77207,Gironville,200023919,CC Gâtinais Val de Loing,77,
77230,Ichy,200023919,CC Gâtinais Val de Loing,77,
77261,Lorrez-le-Bocage-Préaux,200023919,CC Gâtinais Val de Loing,77,
77267,La Madeleine-sur-Loing,200023919,CC Gâtinais Val de Loing,77,
77271,Maisoncelles-en-Gâtinais,200023919,CC Gâtinais Val de Loing,77,
77297,Mondreville,200023919,CC Gâtinais Val de Loing,77,
77342,Obsonville,200023919,CC Gâtinais Val de Loing,77,
77370,Poligny,200023919,CC Gâtinais Val de Loing,77,
77458,Souppes-sur-Loing,200023919,CC Gâtinais Val de Loing,77,
77489,Vaux-sur-Lunain,200023919,CC Gâtinais Val de Loing,77,
77500,Villebéon,200023919,CC Gâtinais Val de Loing,77,
77005,Annet-sur-Marne,200033090,CC Plaines et Monts de France,77,
77094,Charmentray,200033090,CC Plaines et Monts de France,77,
77095,Charny,200033090,CC Plaines et Monts de France,77,
77150,Cuisy,200033090,CC Plaines et Monts de France,77,
77196,Fresnes-sur-Marne,200033090,CC Plaines et Monts de France,77,
77233,Iverny,200033090,CC Plaines et Monts de France,77,
77273,Marchémoret,200033090,CC Plaines et Monts de France,77,
77292,Messy,200033090,CC Plaines et Monts de France,77,
77308,Montgé-en-Goële,200033090,CC Plaines et Monts de France,77,
77332,Nantouillet,200033090,CC Plaines et Monts de France,77,
77344,Oissery,200033090,CC Plaines et Monts de France,77,
77363,Le Pin,200033090,CC Plaines et Monts de France,77,
77364,Le Plessis-aux-Bois,200033090,CC Plaines et Monts de France,77,
77366,Le Plessis-l'Évêque,200033090,CC Plaines et Monts de France,77,
77376,Précy-sur-Marne,200033090,CC Plaines et Monts de France,77,
77427,Saint-Mesmes,200033090,CC Plaines et Monts de France,77,
77430,Saint-Pathus,200033090,CC Plaines et Monts de France,77,
77515,Villeroy,200033090,CC Plaines et Monts de France,77,
77517,Villevaudé,200033090,CC Plaines et Monts de France,77,
77525,Vinantes,200033090,CC Plaines et Monts de France,77,
77012,Augers-en-Brie,200037133,CC du Provinois,77,
77020,Bannost-Villegagnon,200037133,CC du Provinois,77,
77026,Beauchery-Saint-Martin,200037133,CC du Provinois,77,
77032,Beton-Bazoches,200037133,CC du Provinois,77,
77033,Bezalles,200037133,CC du Provinois,77,
77036,Boisdon,200037133,CC du Provinois,77,
77066,Cerneux,200037133,CC du Provinois,77,
77072,Chalautre-la-Grande,200037133,CC du Provinois,77,
77073,Chalautre-la-Petite,200037133,CC du Provinois,77,
77080,Champcenest,200037133,CC du Provinois,77,
77090,La Chapelle-Saint-Sulpice,200037133,CC du Provinois,77,
77109,Chenoise-Cucharmoy,200037133,CC du Provinois,77,
77134,Courchamp,200037133,CC du Provinois,77,
77137,Courtacon,200037133,CC du Provinois,77,
77197,Frétoy,200037133,CC du Provinois,77,
77239,Jouy-le-Châtel,200037133,CC du Provinois,77,
77246,Léchelle,200037133,CC du Provinois,77,
77260,Longueville,200037133,CC du Provinois,77,
77262,Louan-Villegruis-Fontaine,200037133,CC du Provinois,77,
77272,Maison-Rouge,200037133,CC du Provinois,77,
